"longitude","latitude","category","name",,
"-77.08542 "," 38.89176","Cafe","Corner Bakery",,
"-77.08459 "," 38.8913","Cafe","Cosi",,
"-77.08431 "," 38.89176","Fast Food Restaurant","California Tortilla",,
"-77.08418 "," 38.89178","Cafe","Brooklyn Bagel Bakery",,
"-77.0841 "," 38.89182","Pub","Ireland's Four Courts",,
"-77.0839 "," 38.89188","Restaurant","TNR Cafe",,
"-77.08387 "," 38.89104","Cafe","Camille's Cafe",,
"-77.08377 "," 38.8919","Restaurant","Kabob House",,
"-77.06329 "," 38.89446","district_of_columbia_Eating_Drin",,,
"-77.08362 "," 38.89022","district_of_columbia_Eating_Drin",,,
"-77.08355 "," 38.89038","Fast Food Restaurant","Subway",,
"-77.08115 "," 38.89168","Restaurant","Sushi Rock",,
"-77.08027 "," 38.89305","Restaurant","Rhode Side Grill",,
"-77.07917 "," 38.89406","Cafe","Greenberry's Coffee",,
"-77.07901 "," 38.89419","Restaurant","Hell Burger",,
"-77.0789 "," 38.89424","Restaurant","Village Bistro",,
"-77.07881 "," 38.89428","Restaurant","Pho 75",,
"-77.07714 "," 38.8941","Restaurant","Red Hot & Blue",,
"-77.07625 "," 38.89427","Restaurant","Cafe Asia",,
"-77.07393 "," 38.89412","Cafe","Starbucks Coffee",,
"-77.07282 "," 38.89356","Cafe","Jefferson Cafe",,
"-77.07159 "," 38.89375","Cafe","Manhattan Cafe & Catering",,
"-77.07049 "," 38.89112","Drinking water source",,,
"-77.06329 "," 38.90904","district_of_columbia_Eating_Drin",,,
"-77.08827 "," 38.89432","district_of_columbia_Eating_Drin",,,
"-77.07055 "," 38.90712","district_of_columbia_Eating_Drin",,,
"-77.08827 "," 38.89432","district_of_columbia_Eating_Drin",,,
"-77.07632 "," 38.89457","Fast Food Restaurant","Domino's",,
"-77.07615 "," 38.8946","Fast Food Restaurant","Quizno's",,
"-77.07571 "," 38.89436","Restaurant","Pioli Pizza",,
"-77.07464 "," 38.8945","Restaurant","Santa Fe Cafe",,
"-77.07281 "," 38.89458","Restaurant","Ruby Tuesday",,
"-77.07257 "," 38.89461","Cafe","Coffee Express",,
"-77.07205 "," 38.8955","Cafe","Skywalks Cafe",,
"-77.07182 "," 38.89561","Fast Food Restaurant","Cookie Connection",,
"-77.07182 "," 38.89553","Cafe","Mochaberry Coffee",,
"-77.07059 "," 38.89693","Cafe","Cosi",,
"-77.07057 "," 38.89632","Fast Food Restaurant","Quiznos",,
"-77.07055 "," 38.89549","Cafe","Lynn Street Cafe",,
"-77.06648 "," 38.90829","district_of_columbia_Eating_Drin",,,
"-77.07055 "," 38.89432","district_of_columbia_Eating_Drin",,,
"-77.07055 "," 38.89536","Restaurant","Chipotle",,
"-77.07055 "," 38.89594","Fast Food Restaurant","Chop't",,
"-77.07052 "," 38.8947","Fast Food Restaurant","Baja Fresh",,
"-77.07041 "," 38.90605","Restaurant","F Scotts",,
"-77.07041 "," 38.90602","Pub","The Tombs",,
"-77.07041 "," 38.90598","Restaurant",1789,,
"-77.0704 "," 38.89534","Cafe","The Brown Bag",,
"-77.07028 "," 38.89465","Restaurant","China Garden",,
"-77.07027 "," 38.89534","Restaurant","Tomo Sushi",,
"-77.06997 "," 38.8952","Fast Food Restaurant","Rosslyn Coffee & Deli",,
"-77.06989 "," 38.89525","Cafe","Le Petit Cafe",,
"-77.06924 "," 38.90762","Cafe","Saxbys Coffee",,
"-77.06715 "," 38.90523","Restaurant","Sweet Green",,
"-77.06329 "," 38.90779","district_of_columbia_Eating_Drin",,,
"-77.06648 "," 38.89432","district_of_columbia_Eating_Drin",,,
"-77.06455 "," 38.90309","Cafe","CycleLife Cafe",,
"-77.06506 "," 38.9047","Cafe","Dean & Deluca",,
"-77.06648 "," 38.90478","Cafe","Leopold's Kafe Konditorei",,
"-77.06559 "," 38.90497","Restaurant","Pizzeria Paradiso",,
"-77.06333 "," 38.90499","Restaurant","J Paul's",,
"-77.0638 "," 38.905","Restaurant","Clyde's",,
"-77.06629 "," 38.90525","Fast Food Restaurant","Qdoba",,
"-77.06559 "," 38.90526","Restaurant","Modern",,
"-77.06567 "," 38.90527","Restaurant","Harmony Cafe",,
"-77.06564 "," 38.90527","Pub","Modern",,
"-77.06578 "," 38.90527","Fast Food Restaurant","Cr$$pe Amour",,
"-77.06574 "," 38.90527","Fast Food Restaurant","Georgetown Wing Co.",,
"-77.06505 "," 38.90528","Fast Food Restaurant","Subway",,
"-77.06429 "," 38.9053","Fast Food Restaurant","Tackle Box",,
"-77.06329 "," 38.90786","district_of_columbia_Eating_Drin",,,
"-77.06648 "," 38.9053","district_of_columbia_Eating_Drin",,,
"-77.06422 "," 38.9053","Restaurant","Hook",,
"-77.06331 "," 38.90532","Restaurant","Pizzeria Uno",,
"-77.06533 "," 38.90555","Fast Food Restaurant","Quick Pita",,
"-77.06479 "," 38.9061","Fast Food Restaurant","Domino's",,
"-77.06488 "," 38.90611","Fast Food Restaurant","Tuscany Cafe",,
"-77.06505 "," 38.90612","Cafe","Booeymonger Restaurant",,
"-77.06435 "," 38.90616","Restaurant","Mai Thai",,
"-77.06413 "," 38.90617","Restaurant","Peacock Cafe",,
"-77.06365 "," 38.90619","Restaurant","Cafe Milano",,
"-77.06341 "," 38.90622","Restaurant","Morton's The Steakhouse",,
"-77.06341 "," 38.90668","Restaurant","Neyla",,
"-77.06378 "," 38.90773","Restaurant","Georgetown Dinette",,
"-77.06389 "," 38.90773","Fast Food Restaurant","Kitchen No. 1",,
"-77.0428 "," 38.90773","district_of_columbia_Eating_Drin",,,
"-77.06329 "," 38.74524","district_of_columbia_Eating_Drin",,,
"-77.0428 "," 38.86556","district_of_columbia_Eating_Drin",,,
"-77.06329 "," 38.74524","district_of_columbia_Eating_Drin",,,
"-77.0428 "," 38.80668","district_of_columbia_Eating_Drin",,,
"-77.06329 "," 38.74524","district_of_columbia_Eating_Drin",,,
"-77.05214 "," 38.78022","Drinking water source",,,
"-77.06191 "," 38.80258","Cafe","Starbucks",,
"-77.06217 "," 38.80322","Fast Food Restaurant","Potbelly Sandwich Works",,
"-77.06119 "," 38.80342","Fast Food Restaurant","Jimmy John's",,
"-77.05824 "," 38.80398","Restaurant",,,
"-77.06197 "," 38.80403","Restaurant","Pizzeria Venti",,
"-77.05992 "," 38.80413","Fast Food Restaurant","Whole Foods food court",,
"-77.06103 "," 38.80433","Fast Food Restaurant","Subway",,
"-77.05849 "," 38.80439","Restaurant",,,
"-77.06094 "," 38.80467","Fast Food Restaurant","Quattro Formaggi",,
"-77.0444 "," 38.8052","Pub","Pat Troys Irish Pub",,
"-77.04361 "," 38.80563","Restaurant","Gadsby's Tavern",,
"-77.0428 "," 38.82099","district_of_columbia_Eating_Drin",,,
"-77.06329 "," 38.8057","district_of_columbia_Eating_Drin",,,
"-77.0537 "," 38.80582","Restaurant",,,
"-77.06004 "," 38.80592","Restaurant",,,
"-77.0545 "," 38.80593","Fast Food Restaurant",,,
"-77.05433 "," 38.80613","Pub",,,
"-77.05116 "," 38.80784","Restaurant",,,
"-77.05179 "," 38.80813","Cafe",,,
"-77.0505 "," 38.81043","Restaurant",,,
"-77.05029 "," 38.81124","Cafe","Starbucks",,
"-77.04539 "," 38.81144","Cafe","Starbucks",,
"-77.04428 "," 38.81272","Restaurant",,,
"-77.04713 "," 38.81851","Restaurant","Vaso's (Dixie Pig)",,
"-77.05735 "," 38.8198","Restaurant",,,
"-77.05768 "," 38.82028","Restaurant",,,
"-77.0428 "," 38.8638","district_of_columbia_Eating_Drin",,,
"-77.06329 "," 38.82032","district_of_columbia_Eating_Drin",,,
"-77.04754 "," 38.82153","Cafe","Buzz",,
"-77.04729 "," 38.82155","Restaurant","Rustico",,
"-77.05799 "," 38.82344","Restaurant",,,
"-77.05848 "," 38.82451","Restaurant",,,
"-77.05356 "," 38.85213","Pub","Crystal City Restaurant",,
"-77.04282 "," 38.85245","Restaurant","Cibo Bistro & Wine Bar",,
"-77.04286 "," 38.85248","Fast Food Restaurant","Cibo Express",,
"-77.04293 "," 38.85275","Drinking water source","Water Fountains",,
"-77.05185 "," 38.85301","Restaurant","Chili's",,
"-77.05184 "," 38.85313","Restaurant","Legal Sea Foods",,
"-77.05414 "," 38.85316","Restaurant","Portofino Restaurant",,
"-77.04854 "," 38.85344","Restaurant","Ruths Chris Steak House",,
"-77.0428 "," 38.86368","district_of_columbia_Eating_Drin",,,
"-77.06329 "," 38.85359","district_of_columbia_Eating_Drin",,,
"-77.04918 "," 38.85368","Cafe","Starbucks",,
"-77.05007 "," 38.85374","Restaurant","Kora",,
"-77.05469 "," 38.85377","Restaurant","Athena Palace",,
"-77.0432 "," 38.85431","Pub","TGI Friday's",,
"-77.04364 "," 38.85455","Cafe","Cosi",,
"-77.05983 "," 38.85829","Drinking water source",,,
"-77.06111 "," 38.8596","Drinking water source",,,
"-77.05593 "," 38.86027","Fast Food Restaurant","Dunkin Donuts",,
"-77.05896 "," 38.86133","Restaurant","Chevys Fresh Mex",,
"-77.05891 "," 38.86172","Cafe","Starbucks",,
"-77.05887 "," 38.86201","Restaurant","California Pizza Kitchen",,
"-77.06233 "," 38.86342","Restaurant","La Creperie",,
"-77.06232 "," 38.86349","Restaurant","Noodles & Co",,
"-77.0428 "," 38.89933","district_of_columbia_Eating_Drin",,,
